//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-26-2020
//--  Time: 11:29
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Custom#1 Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:003//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 42200.0 Ohms
//--    Temperature1: 68.0(F), 	Resistance 1: 41500.0 Ohms 
//--    Temperature2: 122.0(F), 	Resistance 2: 11850.0 Ohms 
//--    Temperature3: 185.0(F), 	Resistance 3: 3500.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
715	35.91	359 	3.491
716	35.75	357 	3.496
717	35.58	356 	3.501
718	35.42	354 	3.506
719	35.25	353 	3.511
720	35.09	351 	3.516
721	34.92	349 	3.521
722	34.76	348 	3.525
723	34.59	346 	3.530
724	34.42	344 	3.535
725	34.26	343 	3.540
726	34.09	341 	3.545
727	33.92	339 	3.550
728	33.76	338 	3.555
729	33.59	336 	3.560
730	33.42	334 	3.564
731	33.26	333 	3.569
732	33.09	331 	3.574
733	32.92	329 	3.579
734	32.75	328 	3.584
735	32.58	326 	3.589
736	32.41	324 	3.594
737	32.24	322 	3.599
738	32.07	321 	3.604
739	31.90	319 	3.608
740	31.73	317 	3.613
741	31.56	316 	3.618
742	31.39	314 	3.623
743	31.22	312 	3.628
744	31.05	311 	3.633
745	30.88	309 	3.638
746	30.71	307 	3.643
747	30.54	305 	3.647
748	30.36	304 	3.652
749	30.19	302 	3.657
750	30.02	300 	3.662
751	29.85	298 	3.667
752	29.67	297 	3.672
753	29.50	295 	3.677
754	29.32	293 	3.682
755	29.15	292 	3.687
756	28.98	290 	3.691
757	28.80	288 	3.696
758	28.63	286 	3.701
759	28.45	284 	3.706
760	28.27	283 	3.711
761	28.10	281 	3.716
762	27.92	279 	3.721
763	27.74	277 	3.726
764	27.57	276 	3.730
765	27.39	274 	3.735
766	27.21	272 	3.740
767	27.03	270 	3.745
768	26.85	269 	3.750
769	26.68	267 	3.755
770	26.50	265 	3.760
771	26.32	263 	3.765
772	26.14	261 	3.770
773	25.96	260 	3.774
774	25.77	258 	3.779
775	25.59	256 	3.784
776	25.41	254 	3.789
777	25.23	252 	3.794
778	25.05	250 	3.799
779	24.86	249 	3.804
780	24.68	247 	3.809
781	24.50	245 	3.813
782	24.31	243 	3.818
783	24.13	241 	3.823
784	23.95	239 	3.828
785	23.76	238 	3.833
786	23.57	236 	3.838
787	23.39	234 	3.843
788	23.20	232 	3.848
789	23.02	230 	3.853
790	22.83	228 	3.857
791	22.64	226 	3.862
792	22.45	225 	3.867
793	22.26	223 	3.872
794	22.07	221 	3.877
795	21.88	219 	3.882
796	21.69	217 	3.887
797	21.50	215 	3.892
798	21.31	213 	3.896
799	21.12	211 	3.901
800	20.93	209 	3.906
801	20.74	207 	3.911
802	20.54	205 	3.916
803	20.35	204 	3.921
804	20.16	202 	3.926
805	19.96	200 	3.931
806	19.77	198 	3.936
807	19.57	196 	3.940
808	19.38	194 	3.945
809	19.18	192 	3.950
810	18.98	190 	3.955
811	18.78	188 	3.960
812	18.59	186 	3.965
813	18.39	184 	3.970
814	18.19	182 	3.975
815	17.99	180 	3.979
816	17.79	178 	3.984
817	17.59	176 	3.989
818	17.39	174 	3.994
819	17.18	172 	3.999
820	16.98	170 	4.004
821	16.78	168 	4.009
822	16.57	166 	4.014
823	16.37	164 	4.019
824	16.16	162 	4.023
825	15.96	160 	4.028
826	15.75	158 	4.033
827	15.54	155 	4.038
828	15.34	153 	4.043
829	15.13	151 	4.048
830	14.92	149 	4.053
831	14.71	147 	4.058
832	14.50	145 	4.063
833	14.29	143 	4.067
834	14.08	141 	4.072
835	13.86	139 	4.077
836	13.65	137 	4.082
837	13.44	134 	4.087
838	13.22	132 	4.092
839	13.01	130 	4.097
840	12.79	128 	4.102
841	12.57	126 	4.106
842	12.36	124 	4.111
843	12.14	121 	4.116
844	11.92	119 	4.121
845	11.70	117 	4.126
846	11.48	115 	4.131
847	11.26	113 	4.136
848	11.03	110 	4.141
849	10.81	108 	4.146
850	10.59	106 	4.150
851	10.36	104 	4.155
852	10.14	101 	4.160
853	9.91	99 	4.165
854	9.68	97 	4.170
855	9.45	95 	4.175
856	9.22	92 	4.180
857	8.99	90 	4.185
858	8.76	88 	4.189
859	8.53	85 	4.194
860	8.30	83 	4.199
861	8.06	81 	4.204
862	7.83	78 	4.209
863	7.59	76 	4.214
864	7.35	74 	4.219
865	7.12	71 	4.224
866	6.88	69 	4.229
867	6.64	66 	4.233
868	6.40	64 	4.238
869	6.15	62 	4.243
870	5.91	59 	4.248
871	5.67	57 	4.253
872	5.42	54 	4.258
873	5.17	52 	4.263
874	4.93	49 	4.268
875	4.68	47 	4.272
876	4.43	44 	4.277
877	4.18	42 	4.282
878	3.92	39 	4.287
879	3.67	37 	4.292
880	3.42	34 	4.297
881	3.16	32 	4.302
882	2.90	29 	4.307
883	2.64	26 	4.312
884	2.38	24 	4.316
885	2.12	21 	4.321
886	1.86	19 	4.326
887	1.60	16 	4.331
888	1.33	13 	4.336
889	1.06	11 	4.341
890	0.79	8 	4.346
891	0.52	5 	4.351
892	0.25	3 	4.355
893	-0.02	0 	4.360
894	-0.29	-3 	4.365
895	-0.57	-6 	4.370
896	-0.85	-8 	4.375
897	-1.13	-11 	4.380
898	-1.41	-14 	4.385
899	-1.69	-17 	4.390
900	-1.97	-20 	4.395
901	-2.26	-23 	4.399
902	-2.54	-25 	4.404
903	-2.83	-28 	4.409
904	-3.12	-31 	4.414
905	-3.42	-34 	4.419
906	-3.71	-37 	4.424
907	-4.01	-40 	4.429
908	-4.31	-43 	4.434
909	-4.61	-46 	4.438
910	-4.91	-49 	4.443
911	-5.21	-52 	4.448
